State,Year,Month,Solar_MWh,Wind_MWh,Temp,Precip,Wind_Capacity,Solar_Capacity
AL,2012,2,64730.0,160.0,52.1,4.49,11.4,0.0
AL,2013,2,-3.0,37510.0,48.0,8.86,45.2,29.0
AL,2014,2,0.0,67452.0,47.3,5.75,43.1,0.0
AL,2015,2,54.0,171.0,41.3,4.05,95.6,0.0
AL,2016,2,20759.0,1657.0,49.8,5.85,0.74,0.0
AL,2017,2,0.0,7693.0,55.6,3.7,474.25,0.0
AL,2018,2,0.0,948.0,58.0,7.27,1852.8,152.3
AL,2019,2,38.0,0.0,56.1,6.21,227.7,0.0
AL,2020,2,14251.0,87631.0,51.1,10.41,686.5999999999992,0.0
AL,2000,3,0.0,1407.0,58.9,5.05,298.0,0.0
AL,2001,3,0.0,3436.0,51.4,10.11,393.26,0.0
AL,2002,3,38.0,21956.0,55.0,5.79,131.9,0.0
AL,2003,3,3998.0,71.0,57.6,4.67,66.0,0.0
AL,2004,3,0.0,392673.0,59.0,2.28,263.4,0.0
AL,2005,3,0.0,2550.0,53.5,5.85,5.2,0.0
AL,2006,3,37.0,265.0,56.1,2.97,105.05,0.0
AL,2007,3,11283.0,53936.0,60.0,1.56,72.5,0.0
AL,2008,3,0.0,91287.0,55.2,4.01,9.64,0.0
AL,2009,3,44.0,323.0,57.3,8.98,287.5,0.0
AL,2010,3,23521.0,1722.0,51.2,5.07,0.3,0.0
AL,2011,3,0.0,6128.0,57.8,8.18,185.1,0.0
AL,2012,3,44.0,838.0,64.6,5.35,404.0,0.0
AL,2013,3,44353.0,0.0,49.8,3.83,7.2,136.0
AL,2014,3,0.0,115487.0,52.3,5.57,29.1,0.0
AL,2015,3,48.0,903.0,57.8,4.28,135.0,55.0
AL,2016,3,45810.0,5266.0,59.7,5.42,10.5,0.0
AL,2017,3,0.0,13247.0,58.4,4.17,0.0,9.0
AL,2018,3,51.0,69.0,55.4,4.14,0.0,259.0
AL,2019,3,57589.0,377618.0,55.0,3.4,0.0,83.7
AL,2020,3,0.0,2876.0,63.5,6.17,0.0,550.0
AL,2000,4,53.0,142.0,60.1,4.83,2260.850000000001,571.38
AL,2001,4,95490.0,48081.0,64.7,3.88,921.2,0.0
AL,2002,4,0.0,73454.0,66.4,2.19,52.0,0.0
AL,2003,4,31.0,294.0,63.3,6.41,52.60000000000001,163.39
AL,2004,4,85506.0,1641.0,61.2,3.37,43.1,0.0
AL,2005,4,0.0,5782.0,61.0,7.6,164.2,0.0
AL,2006,4,45.0,891.0,67.5,3.07,1.8,47.2
AL,2007,4,74880.0,0.0,60.0,3.91,594.25,0.0
AL,2008,4,0.0,103312.0,62.8,4.53,2744.0999999999995,159.9
AL,2009,4,39.0,976.0,61.4,4.45,288.8,0.0
AL,2010,4,52569.0,3880.0,64.2,2.82,827.4499999999994,0.0
AL,2011,4,0.0,16013.0,65.7,5.08,398.5,0.0
AL,2012,4,32.0,70.0,65.0,1.89,820.8600000000001,0.0
AL,2013,4,30924.0,438403.0,62.2,5.71,150.4,0.0
AL,2014,4,0.0,1797.0,62.4,9.67,66.0,0.0
AL,2015,4,23.0,101.0,66.0,7.14,363.4,0.0
AL,2016,4,28152.0,35405.0,63.6,5.68,5.2,0.0
AL,2017,4,0.0,64220.0,67.2,4.09,105.05,0.0
AL,2018,4,12.0,203.0,59.5,5.94,72.5,0.0
AL,2019,4,4295.0,1918.0,63.5,6.24,2.79,0.0
AL,2020,4,0.0,6447.0,62.0,7.09,287.5,0.0
AL,2000,5,24.0,934.0,74.0,1.32,0.3,0.0
AL,2001,5,13193.0,0.0,70.6,4.03,29.1,0.0
AL,2002,5,23.0,92156.0,70.2,4.09,370.1,0.0
AL,2003,5,17807.0,771.0,71.6,8.49,494.0,0.0
AL,2004,5,40.0,4381.0,72.7,4.0,7.2,136.0
AL,2005,5,49987.0,22828.0,68.3,2.8,75.0,0.0
AL,2006,5,46.0,74.0,70.4,4.41,145.0,55.0
AL,2007,5,60263.0,440390.0,71.2,0.73,7.5,0.0
AL,2008,5,49.0,1423.0,70.3,4.43,0.0,9.0
AL,2009,5,67913.0,185.0,71.2,8.51,0.0,259.0
AL,2010,5,53.0,22590.0,73.3,6.15,0.0,83.7
AL,2011,5,90629.0,56036.0,69.9,1.64,0.0,550.0
AL,2012,5,25.0,118.0,73.4,4.16,1169.9,0.0
AL,2013,5,62382.0,1913.0,68.2,4.0,2347.600000000001,550.2
AL,2014,5,43.0,7492.0,70.2,4.27,73.0,0.0
AL,2015,5,61949.0,1008.0,71.8,4.32,43.60000000000001,227.1
AL,2016,5,23.0,0.0,70.2,2.14,43.1,0.0
AL,2017,5,55834.0,76348.0,69.9,7.01,383.1,0.0
AL,2018,5,32.0,696.0,74.4,5.52,1.8,0.0
AL,2019,5,35404.0,3583.0,74.2,3.59,688.8,0.0
AL,2020,5,24.0,23136.0,68.9,3.64,4496.4,155.9
AL,2000,6,14007.0,73.0,77.6,3.71,1063.2,7.7
AL,2001,6,13.0,408487.0,75.8,7.15,1139.0999999999995,0.0
AL,2002,6,4238.0,2931.0,77.2,3.77,885.2000000000003,0.0
AL,2003,6,302.0,235.0,75.6,8.17,1162.0,0.5
AL,2004,6,12308.0,24805.0,76.8,7.53,293.4,0.0
AL,2005,6,388.0,49354.0,76.7,6.37,66.0,0.0
AL,2006,6,10474.0,105.0,78.1,2.01,363.4,0.0
AL,2007,6,416.0,2047.0,78.8,2.78,5.2,0.0
AL,2008,6,52513.0,4966.0,78.7,2.69,2.1,0.0
AL,2009,6,474.0,1050.0,79.4,2.71,739.5,0.0
AL,2010,6,56428.0,0.0,80.9,3.26,26.1,0.0
AL,2011,6,747.0,55825.0,81.2,3.55,2.9000000000000004,0.0
AL,2012,6,81029.0,467.0,76.8,4.0,149.3,55.0
AL,2013,6,0.0,4023.0,78.0,5.81,287.5,0.0
AL,2014,6,87876.0,22838.0,77.9,5.23,29.1,0.0
AL,2015,6,460.0,86.0,78.8,3.27,494.0,0.0
AL,2016,6,81643.0,293075.0,79.2,3.81,424.6,0.0
AL,2017,6,0.0,2125.0,75.8,10.7,7.2,136.0
AL,2018,6,72846.0,230.0,79.3,4.58,75.0,0.0
AL,2019,6,546.0,26291.0,78.1,4.47,7.5,1.5
AL,2020,6,60086.0,55098.0,77.0,5.15,42.0,0.0
AL,2000,7,402.0,144.0,81.9,2.26,56.7,0.0
AL,2001,7,33119.0,1629.0,79.7,3.95,0.0,9.0
AL,2002,7,302.0,4782.0,80.3,5.38,0.0,319.0
AL,2003,7,15040.0,891.0,78.5,7.74,0.0,83.8
AL,2004,7,230.0,0.0,79.2,4.43,0.0,550.0
AL,2005,7,7528.0,75750.0,80.4,9.19,0.0,79.00000000000001
AL,2006,7,551.0,582.0,81.9,3.33,2635.2,0.0
AL,2007,7,8117.0,6410.0,79.2,5.2,2410.300000000001,564.2999999999994
AL,2008,7,602.0,23136.0,80.0,4.04,73.0,1.2
AL,2009,7,12480.0,83.0,78.1,5.59,230.5,145.7
AL,2010,7,1143.0,253310.0,82.6,3.5,193.1,0.0
AL,2011,7,37014.0,5032.0,81.7,5.52,775.6999999999998,0.0
AL,2012,7,1381.0,250.0,81.6,5.75,123.6,0.0
AL,2013,7,56882.0,52246.0,77.7,8.7,707.7,0.0
AL,2014,7,1572.0,91171.0,77.8,3.36,7433.299999999998,155.9
AL,2015,7,79580.0,304.0,81.6,4.71,1063.2,11.199999999999998
AL,2016,7,1560.0,1659.0,82.0,4.27,1459.9000000000005,0.0
AL,2017,7,86916.0,7468.0,80.6,5.06,1058.7000000000003,0.0
AL,2018,7,1545.0,859.0,80.7,4.46,1365.3,0.5
AL,2019,7,70784.0,0.0,80.6,4.02,360.6,1.5
AL,2020,7,1328.0,123255.0,81.0,5.3,330.0,0.0
AL,2000,8,74517.0,1126.0,81.0,2.36,813.9000000000002,0.0
AL,2001,8,1251.0,12297.0,78.5,5.48,5.2,0.0
AL,2002,8,59857.0,57769.0,79.7,3.24,2.1,0.1
AL,2003,8,1065.0,86.0,79.4,5.7,961.5,0.0
AL,2004,8,36600.0,143261.0,76.3,4.48,26.1,0.0
AL,2005,8,887.0,5034.0,80.5,6.01,2.9000000000000004,0.0
AL,2006,8,11868.0,147.0,82.3,3.91,255.0,55.0
AL,2007,8,695.0,51419.0,84.4,2.67,680.4999999999999,0.0
AL,2008,8,2098.0,97097.0,78.4,8.89,29.1,0.0
AL,2009,8,739.0,281.0,78.0,5.49,495.5,0.0
AL,2010,8,12196.0,1587.0,83.0,4.83,18.9,0.0
AL,2011,8,879.0,6511.0,81.8,2.05,706.6,0.0
AL,2012,8,18654.0,856.0,78.1,6.07,7.2,136.0
AL,2013,8,1202.0,425.0,77.9,5.5,117.0,0.0
AL,2014,8,32202.0,89264.0,79.5,3.25,7.5,3.5000000000000013
AL,2015,8,651.0,1107.0,79.0,4.94,46.5,0.0
AL,2016,8,51423.0,11316.0,81.6,4.58,24.0,0.0
AL,2017,8,2106.0,62057.0,78.8,6.07,162.5,0.0
AL,2018,8,68629.0,97.0,79.5,5.03,130.5,0.0
AL,2019,8,2090.0,171530.0,80.6,4.99,0.0,9.0
AL,2020,8,67612.0,16199.0,80.3,5.78,0.0,319.0
AL,2000,9,1714.0,187.0,73.9,3.49,0.0,89.00000000000001
AL,2001,9,59942.0,58842.0,71.9,4.8,0.0,83.8
AL,2002,9,2035.0,39832.0,77.3,7.57,0.0,550.0
AL,2003,9,80958.0,280.0,73.1,3.7,0.0,3.3000000000000003
AL,2004,9,815.0,92458.0,73.8,6.63,3351.9000000000005,0.0
AL,2005,9,53175.0,288.0,76.9,3.29,63.8,1.2
AL,2006,9,514.0,1781.0,72.8,3.53,429.5,116.4
AL,2007,9,31769.0,25213.0,76.0,3.11,319.5,0.0
AL,2008,9,288.0,967.0,74.5,1.65,1201.8,0.0
AL,2009,9,15398.0,446.0,75.0,7.57,142.6,47.2
AL,2010,9,99.0,142904.0,76.9,1.61,1129.8000000000004,0.0
AL,2011,9,2614.0,1249.0,72.1,7.21,2650.2,598.3999999999994
AL,2012,9,111.0,9660.0,73.0,5.35,9378.3,158.6
AL,2013,9,12731.0,53724.0,75.0,3.2,1237.5,14.4
AL,2014,9,0.0,131448.0,76.3,2.51,1614.6000000000006,0.0
AL,2015,9,0.0,16080.0,74.4,2.71,1036.5,0.0
AL,2016,9,497.0,78.0,78.6,1.72,1658.5000000000002,0.0
AL,2017,9,18747.0,83542.0,73.4,3.25,2005.6,0.5
AL,2018,9,0.0,45549.0,79.4,6.21,695.6,1.9
AL,2019,9,0.0,0.0,80.2,0.41,330.0,0.0
AL,2020,9,750.0,32.0,74.5,6.01,1596.0,9.0
AL,2000,10,47738.0,98432.0,64.6,0.8,1011.3,0.0
AL,2001,10,0.0,793.0,60.6,3.27,5.2,0.0
AL,2002,10,0.0,4735.0,67.8,5.58,4.5,0.1
AL,2003,10,1181.0,37164.0,63.5,1.61,7.399999999999995,0.0
AL,2004,10,53283.0,8846.0,68.5,3.87,104.5,0.0
AL,2005,10,0.0,395.0,63.8,0.61,368.7,55.0
AL,2006,10,0.0,534.0,61.9,5.13,1103.9,0.0
AL,2007,10,1350.0,287160.0,66.5,3.92,29.1,0.0
AL,2008,10,82842.0,1504.0,62.2,3.02,597.4,0.0
AL,2009,10,0.0,48165.0,62.8,7.18,222.4,0.0
AL,2010,10,0.0,5115.0,64.3,2.59,1273.6,0.0
AL,2011,10,1372.0,41829.0,60.6,0.79,7.2,136.0
AL,2012,10,81210.0,153450.0,62.2,2.91,146.4,0.0
AL,2013,10,0.0,14603.0,64.9,1.47,7.5,13.2
AL,2014,10,1876.0,185.0,65.2,4.38,169.5,0.0
AL,2015,10,746.0,102587.0,65.0,2.93,24.0,0.0
AL,2016,10,76220.0,47234.0,68.5,0.13,308.5,0.0
AL,2017,10,0.0,0.0,65.8,6.03,63.0,10.5
AL,2018,10,8827.0,35.0,67.4,2.69,0.0,319.0
AL,2019,10,790.0,103427.0,67.8,7.12,0.0,89.00000000000001
AL,2020,10,64122.0,779.0,67.0,5.1,0.0,575.0
AL,2000,11,0.0,4814.0,52.8,7.7,0.0,83.8
AL,2001,11,10251.0,21090.0,58.8,3.43,0.0,3.3000000000000003
AL,2002,11,702.0,5380.0,51.0,4.88,1294.1,41.1
AL,2003,11,57325.0,567.0,58.2,4.67,1414.9,0.0
AL,2004,11,0.0,396.0,57.8,8.12,1946.0,9.0
AL,2005,11,10186.0,194607.0,55.8,3.59,3569.3,0.0
AL,2006,11,533.0,0.0,52.8,4.84,2009.0999999999985,0.0
AL,2007,11,41128.0,20573.0,53.6,2.75,7.4,0.0
AL,2008,11,0.0,6139.0,51.0,3.15,449.3,116.4
AL,2009,11,7572.0,38066.0,53.4,4.39,5.2,0.0
AL,2010,11,297.0,266987.0,55.2,4.73,10.0,4.1
AL,2011,11,20044.0,11379.0,55.3,4.13,2812.0,615.7999999999995
AL,2012,11,0.0,111.0,51.2,1.36,29.1,0.0
AL,2013,11,3960.0,80001.0,51.6,3.42,2296.3,0.5
AL,2014,11,320.0,47019.0,48.2,2.98,154.2,0.0
AL,2015,11,1579.0,0.0,59.2,6.8,628.5,0.0
AL,2016,11,2208.0,24.0,57.8,2.3,9951.9,159.1
AL,2017,11,1294.0,57827.0,55.6,1.05,2004.0,0.0
AL,2018,11,1137.0,415.0,50.4,6.29,1273.6,0.0
AL,2019,11,12272.0,4937.0,50.6,3.24,695.5999999999998,9.1
AL,2020,11,348.0,44445.0,58.4,2.72,1071.8,0.0
AL,2000,12,0.0,7222.0,39.2,4.29,162.6,47.2
AL,2001,12,1.0,485.0,50.6,4.14,430.5,0.0
AL,2002,12,0.0,524.0,45.2,6.54,1422.9,0.0
AL,2003,12,50.0,238396.0,44.0,3.47,1480.0,0.0
AL,2004,12,2477.0,1131.0,45.1,4.84,699.8,30.2
AL,2005,12,3.0,51055.0,43.4,3.95,7.2,149.1
AL,2006,12,0.0,5044.0,49.4,4.06,7.5,27.700000000000006
AL,2007,12,1217.0,35100.0,51.6,4.25,352.2000000000001,0.0
AL,2008,12,27647.0,409496.0,49.7,6.78,379.2,52.0
AL,2009,12,735.0,12701.0,44.8,10.63,61.6,2.2
AL,2010,12,0.0,47.0,40.3,2.2,24.0,0.0
AL,2011,12,3.0,96580.0,49.3,5.04,262.5,0.0
AL,2012,12,0.0,46938.0,50.9,6.61,458.5,0.0
AL,2013,12,110.0,0.0,47.9,7.93,1339.7,0.0
AL,2014,12,6121.0,33.0,50.0,6.36,222.4,0.0
AL,2015,12,7.0,95282.0,56.9,11.87,128.1,19.9
AL,2016,12,0.0,763.0,50.1,5.05,2.0,0.0
AL,2017,12,1674.0,5159.0,46.9,3.89,70.0,1.4
AL,2018,12,56122.0,33120.0,49.0,9.95,1.5,0.0
AL,2019,12,1712.0,5500.0,51.3,6.6,0.0,597.5
AL,2020,12,0.0,569.0,45.9,3.84,0.0,834.0
AZ,2000,1,7.0,427.0,45.8,0.28,0.0,83.8
AZ,2001,1,0.0,236924.0,40.3,1.7,0.0,137.0
AZ,2002,1,230.0,992.0,42.3,0.19,0.0,34.9
AZ,2003,1,14839.0,35357.0,48.8,0.32,4203.2,32.0
AZ,2004,1,15.0,4548.0,42.8,0.71,91.6,2.2
AZ,2005,1,0.0,39981.0,45.1,2.83,611.5,106.9
AZ,2006,1,1632.0,478276.0,44.1,0.13,780.0,0.0
AZ,2007,1,71402.0,10517.0,39.0,0.79,1422.9,0.0
AZ,2008,1,2106.0,75.0,39.8,1.99,374.6,47.2
AZ,2009,1,0.0,87149.0,45.2,0.52,1810.8,0.0
AZ,2010,1,9.0,45564.0,42.2,3.41,3770.099999999999,741.5999999999997
AZ,2011,1,0.0,0.0,41.5,0.05,10361.3,189.1
AZ,2012,1,291.0,29.0,45.3,0.26,1412.4000000000005,0.0
AZ,2013,1,18682.0,83221.0,38.6,1.3,1792.8999999999994,85.60000000000002
AZ,2014,1,19.0,630.0,46.5,0.03,2576.3000000000025,0.0
AZ,2015,1,0.0,4929.0,45.1,1.79,1339.7,0.0
AZ,2016,1,1508.0,29943.0,41.8,1.4,2208.0000000000005,2.6
AZ,2017,1,75906.0,4813.0,42.3,2.07,2453.5,0.5
AZ,2018,1,2135.0,592.0,47.6,0.56,789.3,18.8
AZ,2019,1,0.0,439.0,42.4,1.5,528.1,0.0
AZ,2020,1,9.0,264416.0,43.8,0.45,2737.3,9.0
AZ,2000,2,0.0,1123.0,48.4,0.59,1271.8,0.0
AZ,2001,2,304.0,27961.0,44.2,1.0,45.2,2.2
AZ,2002,2,18863.0,3680.0,46.2,0.1,29.6,11.7
AZ,2003,2,20.0,34283.0,45.5,2.44,7.399999999999995,0.0
AZ,2004,2,0.0,557098.0,42.1,1.07,332.5,0.0
AZ,2005,2,272.0,9630.0,46.2,3.35,378.2,52.0
AZ,2006,2,100402.0,198.0,47.8,0.04,24.0,0.0
AZ,2007,2,2625.0,74748.0,46.7,0.56,458.5,0.0
AZ,2008,2,0.0,42891.0,45.0,1.19,138.1,130.10000000000002
AZ,2009,2,12.0,0.0,46.6,1.02,1398.9,31.5
AZ,2010,2,0.0,26.0,44.3,1.44,29.1,0.0
AZ,2011,2,398.0,77281.0,41.7,1.05,750.1999999999998,129.5
AZ,2012,2,24428.0,737.0,45.6,0.43,324.4,0.0
AZ,2013,2,26.0,5818.0,42.2,0.51,159.7,164.4
AZ,2014,2,0.0,31494.0,50.0,0.16,611.3,0.0
AZ,2015,2,1254.0,2792.0,52.0,0.64,7.5,152.7
AZ,2016,2,89749.0,406.0,50.6,0.29,322.5,0.0
AZ,2017,2,1932.0,145.0,49.4,1.26,2.0,12.5
AZ,2018,2,0.0,257712.0,46.7,1.07,120.0,4.4
AZ,2019,2,10.0,488.0,40.9,2.74,1.5,0.0
AZ,2020,2,0.0,32637.0,46.0,1.1,0.0,947.0
AZ,2000,3,346.0,2280.0,50.5,1.73,0.0,44.7
AZ,2001,3,17565.0,29934.0,51.8,1.04,0.0,614.6
AZ,2002,3,23.0,443320.0,49.8,0.22,0.0,83.8
AZ,2003,3,0.0,7529.0,50.6,1.07,0.0,137.0
AZ,2004,3,1351.0,198.0,58.1,0.75,5047.000000000003,5047.000000000003
AZ,2005,3,85383.0,45378.0,49.9,0.86,205.6,205.6
AZ,2006,3,1815.0,30229.0,48.3,1.41,790.5,790.5
AZ,2007,3,0.0,0.0,54.5,0.83,1759.2000000000005,1759.2000000000005
AZ,2008,3,10.0,14.0,51.8,0.07,1080.3,1080.3
AZ,2009,3,0.0,33985.0,52.5,0.17,3132.9000000000005,3132.9000000000005
AZ,2010,3,328.0,692.0,49.2,1.03,5599.999999999999,5599.999999999999
AZ,2011,3,16373.0,5875.0,53.3,0.33,12321.9,12321.9
AZ,2012,3,22.0,33565.0,51.6,0.69,1408.5,1408.5
AZ,2013,3,0.0,2648.0,54.8,0.57,2302.9,2302.9
AZ,2014,3,1116.0,302.0,53.9,0.9,2843.7000000000025,2843.7000000000025
AZ,2015,3,72990.0,104.0,56.3,1.12,1539.7,1539.7
AZ,2016,3,2055.0,218034.0,54.9,0.11,1343.9000000000005,1343.9000000000005
AZ,2017,3,0.0,825.0,56.6,0.41,2968.9,2968.9
AZ,2018,3,9.0,35508.0,52.3,0.44,3160.9000000000005,3160.9000000000005
AZ,2019,3,0.0,1926.0,51.7,1.22,2806.3,2806.3
AZ,2020,3,286.0,30322.0,51.1,2.37,583.3,583.3
AZ,2000,4,16123.0,476442.0,61.9,0.11,3525.100000000001,3525.100000000001
AZ,2001,4,19.0,10096.0,57.5,0.97,60.00000000000002,60.00000000000002
AZ,2002,4,0.0,174.0,62.0,0.18,120.2,120.2
AZ,2003,4,1074.0,47461.0,55.6,0.29,72.70000000000002,72.70000000000002
AZ,2004,4,45957.0,33421.0,57.9,1.32,530.4,530.4
AZ,2005,4,1488.0,0.0,57.2,0.7,328.6,328.6
AZ,2006,4,0.0,19.0,59.0,0.24,612.4000000000002,612.4000000000002
AZ,2007,4,6.0,57701.0,59.3,0.24,171.0,171.0
AZ,2008,4,0.0,659.0,58.0,0.02,458.5,458.5
AZ,2009,4,183.0,6214.0,57.0,0.29,237.3,237.3
AZ,2010,4,11523.0,26457.0,56.1,0.27,1730.8,1730.8
AZ,2011,4,12.0,2166.0,58.9,0.41,424.1,424.1
AZ,2012,4,0.0,406.0,60.6,0.32,29.1,29.1
AZ,2013,4,1279.0,145.0,59.4,0.2,777.4999999999999,777.4999999999999
AZ,2014,4,21256.0,247536.0,59.1,0.24,324.4,324.4
AZ,2015,4,875.0,335.0,58.4,0.42,962.7,962.7
AZ,2016,4,0.0,31107.0,58.5,0.8,7.5,7.5
AZ,2017,4,3.0,2083.0,59.9,0.19,430.6,430.6
AZ,2018,4,0.0,34270.0,62.9,0.04,2.0,2.0
AZ,2019,4,87.0,294802.0,60.3,0.3,150.0,150.0
AZ,2020,4,5343.0,9832.0,59.4,0.36,120.0,120.0
AZ,2000,5,6.0,144.0,71.2,0.02,3.0,3.0
AZ,2001,5,0.0,53390.0,70.8,0.37,5562.200000000003,5562.200000000003
AZ,2002,5,1210.0,34399.0,67.0,0.01,205.6,205.6
AZ,2003,5,11395.0,0.0,68.3,0.1,660.0,660.0
AZ,2004,5,527.0,23.0,68.4,0.01,1759.2000000000005,1759.2000000000005
AZ,2005,5,18.0,73995.0,67.9,0.22,1360.1,1360.1
AZ,2006,5,1.0,623.0,70.0,0.05,3779.5000000000014,3779.5000000000014
AZ,2007,5,1801.0,5193.0,68.4,0.3,5815.2,5815.2
AZ,2008,5,57.0,25427.0,63.6,0.65,13994.100000000002,13994.100000000002
AZ,2009,5,3675.0,2784.0,70.8,0.74,1407.3,1407.3
AZ,2010,5,3.0,490.0,63.1,0.06,2543.9,2543.9
AZ,2011,5,0.0,198.0,63.2,0.28,2787.800000000001,2787.800000000001
AZ,2012,5,1387.0,163651.0,69.3,0.05,3157.4,3157.4
AZ,2013,5,1896.0,632.0,67.4,0.06,3073.100000000001,3073.100000000001
AZ,2014,5,539.0,33530.0,66.8,0.07,1343.9000000000005,1343.9000000000005
AZ,2015,5,9.0,3006.0,62.9,1.0,583.3,583.3
AZ,2016,5,0.0,33710.0,64.6,0.52,3526.8,3526.8
AZ,2017,5,0.0,284412.0,66.1,0.41,60.00000000000002,60.00000000000002
AZ,2018,5,30.0,9972.0,68.5,0.15,2968.9,2968.9
AZ,2019,5,37.0,160.0,60.7,0.91,120.2,120.2
AZ,2020,5,3268.0,72520.0,70.5,0.11,82.60000000000002,82.60000000000002
AZ,2000,6,23.0,30399.0,77.8,0.73,811.9,811.9
AZ,2001,6,0.0,0.0,77.5,0.24,331.7,331.7
AZ,2002,6,1227.0,25.0,78.8,0.01,237.3,237.3
AZ,2003,6,21923.0,61119.0,76.3,0.05,636.7,636.7
AZ,2004,6,931.0,628.0,75.9,0.09,171.0,171.0
AZ,2005,6,48.0,4982.0,74.4,0.21,458.5,458.5
AZ,2006,6,0.0,23417.0,79.5,0.34,1747.0,1747.0
AZ,2007,6,1.0,4177.0,77.3,0.12,424.1,424.1
AZ,2008,6,157.0,413.0,77.3,0.15,29.1,29.1
AZ,2009,6,264.0,240.0,73.0,0.34,812.2999999999997,812.2999999999997
AZ,2010,6,5771.0,173421.0,75.9,0.08,324.4,324.4
AZ,2011,6,123.0,988.0,75.7,0.02,962.7,962.7
AZ,2012,6,0.0,25570.0,78.7,0.08,7.6,7.6
AZ,2013,6,1328.0,3390.0,79.5,0.03,1739.7,1739.7
AZ,2014,6,55483.0,38522.0,77.7,0.01,430.6,430.6
AZ,2015,6,2511.0,157969.0,78.4,0.8,2.0,2.0
AZ,2016,6,122.0,12066.0,80.3,0.43,150.0,150.0
AZ,2017,6,0.0,142.0,79.8,0.06,160.0,160.0
AZ,2018,6,4.0,80620.0,78.6,0.33,3.8,3.8
AZ,2019,6,401.0,32272.0,75.2,0.06,60.6,60.6
AZ,2020,6,673.0,0.0,76.8,0.05,2961.8,2961.8
AZ,2000,7,17273.0,31.0,81.5,0.53,1407.3,1407.3
AZ,2001,7,313.0,75772.0,79.8,1.5,3799.8,3799.8
AZ,2002,7,0.0,660.0,82.3,1.31,6134.2000000000035,6134.2000000000035
AZ,2003,7,1477.0,4791.0,83.8,1.25,3240.699999999999,3240.699999999999
AZ,2004,7,73053.0,30273.0,80.1,1.14,331.4000000000001,331.4000000000001
AZ,2005,7,2901.0,6835.0,82.7,1.05,120.2,120.2
AZ,2006,7,157.0,940.0,82.3,2.49,82.60000000000002,82.60000000000002
AZ,2007,7,0.0,423.0,82.0,2.27,5726.800000000002,5726.800000000002
AZ,2008,7,5.0,170311.0,80.4,2.25,885.3,885.3
AZ,2009,7,514.0,856.0,82.8,1.09,29.1,29.1
AZ,2010,7,864.0,33299.0,81.8,1.97,3073.100000000001,3073.100000000001
AZ,2011,7,20043.0,3620.0,80.8,1.76,837.8,837.8
AZ,2012,7,401.0,45067.0,80.0,2.52,17657.900000000005,17657.900000000005
AZ,2013,7,0.0,148945.0,81.0,2.68,3157.4,3157.4
AZ,2014,7,1261.0,14600.0,81.4,1.86,1747.0,1747.0
AZ,2015,7,80290.0,105.0,78.6,1.91,3573.9,3573.9
AZ,2016,7,3316.0,94858.0,82.4,1.39,1333.5000000000002,1333.5000000000002
AZ,2017,7,173.0,30764.0,81.5,2.89,1360.1,1360.1
AZ,2018,7,0.0,0.0,82.3,2.59,583.3000000000002,583.3000000000002
